id,userName,userImage,date,score,scoreText,url,title,text,Source,application,is_positive
1,Kendi Setyadi,https://lh3.googleusercontent.com/-muSxpwJDh5o/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckvlOaSy0LvnKIFq6o6vNs-_GqTxQ/photo.jpg,7/23/2019 10:29,1,1,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=id.co.bni.bnicall&reviewid=gp:AOqpTOEPvrO6f3w7L2kxuffHT-hVUwqYsirCxrjmLvnwCPsfKKpPYRVJPT3Du5YoBUOzJuszBHYnTuiGDYqK9yc,,"Min...mau tanya kenapa saya setelah mendaftar di BNI CALL terus masuk applikasinya tulisannya ""Sayangnya, BNI CALL telah terhenti"" itu kenapa ya min??",Google Play,BNI Call,0
2,so cute,https://lh3.googleusercontent.com/-DyiO3y1WkZs/AAAAAAAAAAI/AAAAAAAACPs/AMZuuck1p8sC6z_OM5oLL5lnwnMKDFiMxA/photo.jpg,7/6/2019 9:54,1,1,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=id.co.bni.bnicall&reviewid=gp:AOqpTOGULNEtnqGvSeHd2LotvMpsmsPtx6cv1YioP6_6NHpqPdz5a2T1NXqPXyzb08nMB8jBKxmlHdOByMjRaKM,,"GA BERGUNA, YG JAWAB MESIN JAWABANNYA NGACO",Google Play,BNI Call,0
3,Ria Fitria,https://lh3.googleusercontent.com/-p7tst5sirJ4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmUabvUoPMdPw4GR8VBD_sLCBfagA/photo.jpg,6/22/2019 7:05,1,1,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=id.co.bni.bnicall&reviewid=gp:AOqpTOFVF2M774RlqqZwde7bd2hXf0T0_1mW0yWXuXVHinlA288pDrfoIfTP__bDTLNY9elLBOPSI99yXf-V9VQ,,"aneh,, saya tanya apa, jawab nya apa.. ngga nyambung banget",Google Play,BNI Call,0
4,yudi apriansyah,https://lh3.googleusercontent.com/-wZJtc5LdK-4/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucldjrUZFPZsCjXwpqKBO7_PBMogXg/photo.jpg,6/3/2019 5:27,5,5,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=id.co.bni.bnicall&reviewid=gp:AOqpTOFVQwfWfcMRD18Igi3XcImD8RDQgEo-oPMc7t6HzIi1FlBAXGUBSpZIIrgpL4aS_5H7b3VOBBYFEGdxR2s,,maaf bu/pak pas tanggal 20 sya laporan ke bni call soal transfer lewat m-banking.saldo saya kepotong tapi ke rekening yang ditujunya gak masuk katanya tunggu sampe 14 hari kerja ini sudah 14 hari.mohon kerjasama nya untuk pihak dari bni .terimakasih,Google Play,BNI Call,0
5,D 098 Elang Rimba,https://lh3.googleusercontent.com/a-/AOh14GigP2KtHo2bB7OKaHj5vPw_j4-QwzJcTf6XL2Ih,5/7/2019 8:12,1,1,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=id.co.bni.bnicall&reviewid=gp:AOqpTOGPYp6PNdSsx8eTmBb6CBFaXDeXckjjliqWQ6KRC78SQWORFCduxUVNvV3AB2boejEOv7cFG_Z0mgaF4ko,,gak nyambung nih aplikasi,Google Play,BNI Call,0
6,Farras Athallah Zahran Zahran,https://lh3.googleusercontent.com/a-/AOh14GiIRDjTlSSyI6tW8KAMpqZtLMRdLdA0tjNaHv2koA,3/20/2019 14:27,2,2,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=id.co.bni.bnicall&reviewid=gp:AOqpTOH9dWU8LK8epMwcSiwog5GX1FrTkxpoquVhs2WK5HOjxXMTFMkYBjHyCXY-aXLFWQqDnmOIzteFBCX2Q3Q,,Force Close di asus zenfone 2 ze551ml,Google Play,BNI Call,0
7,HARRY BUDIMAN,https://lh3.googleusercontent.com/a-/AOh14Gg0Ss6iZXBJgGxbg4ntI52L8pOniCwh1b6vVGykxw,3/15/2019 1:19,3,3,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=id.co.bni.bnicall&reviewid=gp:AOqpTOFfARERbvtddIdzq60Qh63-nr0MUrPsdf2SwgKUWiAcXObdnDy7_2bfhIY1i8uo6YsHoWYC-KZde8DMrvM,,mohon knp BNI LEVA saya ini tidak ada menu materi pbelajaran krn terkait BLW saat add enrollment keluar komentar mohon untuk akses leva terlebih dahulu...mhn info.,Google Play,BNI Call,0
8,Pengguna Google,https://lh3.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,3/14/2019 4:59,1,1,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=id.co.bni.bnicall&reviewid=gp:AOqpTOHPx0MP1kTM7WWhekpxpjbDiAqIRCpLf60Bip2Gv8RsaeatpU9TOpEisYYeV01STC0MIsSF2zyM4fTYHlA,,tidak bisa dibuka,Google Play,BNI Call,0
9,Nuari Haryadi,https://lh3.googleusercontent.com/-9nqrlg-rzDU/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclSKVl2ABlS1bSt8IpXUAYIjaFytQ/photo.jpg,3/12/2019 7:40,3,3,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=id.co.bni.bnicall&reviewid=gp:AOqpTOGhZm2ZvASUAGFsP6EvNolACdufEeznelQp4skI057KERF_5S628DixseNT2u46Of2l5-9pqLaDsnfPN1w,,"sangat disayangkan, harusnya aplikasi ini menjadi aplikasi yg sangat membantu untuk menghubungi CS BNI atau mencari informasi yg dimana nasabah butuh penjelasa selain menghubungi via telpon. hanya saja hanya beberapa versi 5.1 android yg bisa menggunakannya. tidak bisa kah aplikasi ini dibuat agar andriod versi 4.1 dan selanjutnya dapat menikmati aplikasinya? baru install dan daftar namun force close sendiri tanpa info. terima kasih",Google Play,BNI Call,0
10,edonano30,https://lh3.googleusercontent.com/-UoFvIhIaejM/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclnNkng07gfOxLjojqxB_3I1Wt0OA/photo.jpg,2/28/2019 1:18,1,1,https://play.google.com/apps/publish?#ReviewDetailsPlace:p=id.co.bni.bnicall&reviewid=gp:AOqpTOG-QDC-GXTlakhSQgcoZxZm_wvqikqvnGgbnMXCGuv2TNts5RBY8Xnt8HGRGgCDwOVpp6Gq5FTHwlY4-1o,,"aplikasi tidak bisa di jalankan, langsung tampil tulisan ""sayangnya BNI CALL telah berhenti"", tolong bantuannya bagaimana supaya bisa dijalankan, android saya versi 5.0, krn dr manajemen Bni saya harus menggunakan apk tsb, terimakasih",Google Play,BNI Call,0
